"Sign In","Entre",module,Magento_Customer
"Create an Account","Cadastre-se",module,Magento_Customer
"What wine are you looking for?","Qual vinho você está buscando?",module,Magento_Search
"Enter your email address", Insira seu e-mail aqui, module, Magento_Newsletter
"Installment in up to 10 installments with a minimum installment of $300.00.", Parcele em até 10x com parcela mínima de R$ 300,00, module, Magento_Catalog
"purchase", "Comprar" module, Magento_PageBuilder
"SUBSCRIBE TO OUR NEWSLETTER", "ASSINE A NOSSA NEWSLETTER", module, Magento_Newsletter
"Show Password", "Mostrar senha", module, Magento_Customer
"Allow remote shopping assistance", "Permitir assistência remota para compras", module, Magento_Customer
This allows merchants to "see what you see" and take actions on your behalf in order to provide better assistance.,Isso permite que os comerciantes "vejam o que você vê" e realizem ações em seu nome para fornecer uma melhor assistência., module, Magento_LoginAsCustomerAssistance
