sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
MD_015,,Moda_Attribute_Set,configurable,"Moda,Moda/Roupas,Moda/Promoções",moda_br,Geométrico Listrado ocasional Vestido,,"<p>  Cor: Preto Estilo: Casual Tipo de Desenho: Listrado, Geométrico Tipo: Camiseta Decote: Gola Redonda Comprimento da Manga: Manga Comprida Tipo de manga: Manga Regular Linha de Cintura: Natural Bainha Formada: Alargado Comprimento:Curto Tipo de Ajuste: Ajuste Regular Tecido: Elasticidade Baixa Material: Algodão Tecido/material:9 5% Algodão, 5% Elastano Instruções de cuidados: Lavagem de máquina ou lavagem profissional a seco </p>",0.8,1,Taxable Goods,"Catalog, Search",73.90,,,,Geometrico-Listrado-ocasional-Vestido,Geométrico Listrado ocasional Vestido,Geométrico Listrado ocasional Vestido,Geométrico Listrado ocasional Vestido,listr1.png,,listr1.png,,listr1.png,,,,25/05/2022 10:53,25/05/2022 10:59,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,France,FabricType=Couro 100%,0,0,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"listr2.png,listr3.png,listr4.png",,,,,,,,,,,,,"sku=MD_015-P,tamanhoclo=P|sku=MD_015-M,tamanhoclo=M,|sku=MD_015-G,tamanhoclo=G,|sku=MD_015-GG,tamanhoclo=GG",tamanhoclo=Tamanho
MD_015-P,,Moda_Attribute_Set,simple,"Moda,Moda/Roupas,Moda/Promoções",moda_br,Geométrico Listrado ocasional Vestido,,"<p>  Cor: Preto Estilo: Casual Tipo de Desenho: Listrado, Geométrico Tipo: Camiseta Decote: Gola Redonda Comprimento da Manga: Manga Comprida Tipo de manga: Manga Regular Linha de Cintura: Natural Bainha Formada: Alargado Comprimento:Curto Tipo de Ajuste: Ajuste Regular Tecido: Elasticidade Baixa Material: Algodão Tecido/material:9 5% Algodão, 5% Elastano Instruções de cuidados: Lavagem de máquina ou lavagem profissional a seco </p>",0.8,1,Taxable Goods,Not Visible Individually,73.90,,,,Geometrico-Listrado-ocasional-Vestido,Geométrico Listrado ocasional Vestido,Geométrico Listrado ocasional Vestido,Geométrico Listrado ocasional Vestido,,,,,,,,,27/05/2022 13:36,27/05/2022 13:36,,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,France,"FabricType=Couro 100%,tamanhoclo=P",20,0,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MD_015-M,,Moda_Attribute_Set,simple,"Moda,Moda/Roupas,Moda/Promoções",moda_br,Geométrico Listrado ocasional Vestido,,"<p>  Cor: Preto Estilo: Casual Tipo de Desenho: Listrado, Geométrico Tipo: Camiseta Decote: Gola Redonda Comprimento da Manga: Manga Comprida Tipo de manga: Manga Regular Linha de Cintura: Natural Bainha Formada: Alargado Comprimento:Curto Tipo de Ajuste: Ajuste Regular Tecido: Elasticidade Baixa Material: Algodão Tecido/material:9 5% Algodão, 5% Elastano Instruções de cuidados: Lavagem de máquina ou lavagem profissional a seco </p>",0.8,1,Taxable Goods,Not Visible Individually,73.90,,,,Geometrico-Listrado-ocasional-Vestido,Geométrico Listrado ocasional Vestido,Geométrico Listrado ocasional Vestido,Geométrico Listrado ocasional Vestido,,,,,,,,,27/05/2022 13:36,27/05/2022 13:36,,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,France,"FabricType=Couro 100%,tamanhoclo=M",25,0,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MD_015-G,,Moda_Attribute_Set,simple,"Moda,Moda/Roupas,Moda/Promoções",moda_br,Geométrico Listrado ocasional Vestido,,"<p>  Cor: Preto Estilo: Casual Tipo de Desenho: Listrado, Geométrico Tipo: Camiseta Decote: Gola Redonda Comprimento da Manga: Manga Comprida Tipo de manga: Manga Regular Linha de Cintura: Natural Bainha Formada: Alargado Comprimento:Curto Tipo de Ajuste: Ajuste Regular Tecido: Elasticidade Baixa Material: Algodão Tecido/material:9 5% Algodão, 5% Elastano Instruções de cuidados: Lavagem de máquina ou lavagem profissional a seco </p>",0.8,1,Taxable Goods,Not Visible Individually,73.90,,,,Geometrico-Listrado-ocasional-Vestido,Geométrico Listrado ocasional Vestido,Geométrico Listrado ocasional Vestido,Geométrico Listrado ocasional Vestido,,,,,,,,,27/05/2022 13:36,27/05/2022 13:36,,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,France,"FabricType=Couro 100%,tamanhoclo=G",20,0,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MD_015-GG,,Moda_Attribute_Set,simple,"Moda,Moda/Roupas,Moda/Promoções",moda_br,Geométrico Listrado ocasional Vestido,,"<p>  Cor: Preto Estilo: Casual Tipo de Desenho: Listrado, Geométrico Tipo: Camiseta Decote: Gola Redonda Comprimento da Manga: Manga Comprida Tipo de manga: Manga Regular Linha de Cintura: Natural Bainha Formada: Alargado Comprimento:Curto Tipo de Ajuste: Ajuste Regular Tecido: Elasticidade Baixa Material: Algodão Tecido/material:9 5% Algodão, 5% Elastano Instruções de cuidados: Lavagem de máquina ou lavagem profissional a seco </p>",0.8,1,Taxable Goods,Not Visible Individually,73.90,,,,Geometrico-Listrado-ocasional-Vestido,Geométrico Listrado ocasional Vestido,Geométrico Listrado ocasional Vestido,Geométrico Listrado ocasional Vestido,,,,,,,,,27/05/2022 13:36,27/05/2022 13:36,,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,France,"FabricType=Couro 100%,tamanhoclo=GG",2,0,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MD_002,,Moda_Attribute_Set,configurable,"Moda,Moda/Lingerie",moda_br,Lingerie Anel Simples,,"<p><strong>Cor</strong>: Verde de Exercício</p>
<p><strong>Tipo de Desenho</strong>: Simples</p>
<p><strong>Tipo de sutiã:</strong> Com fio</p>
<p><strong>Tipo de calcinha</strong>: Cordas em V</p>
<p><strong>Número de peças</strong>: Conjunto de 2 peças</p>
<p><strong>Tecido</strong>: Elasticidade Baixa</p>
<p><strong>Material</strong>: Laço</p>
<p><strong>Tecido/material</strong>: 95% Poliéster, 5% Spandex</p>
<p><strong>Instruções de cuidados</strong>: Lavar à mão, não lavar a seco</p>
<p><strong>Almofada de peito</strong>: Sem enchimento</p>",0.4,1,Taxable Goods,"Catalog, Search",31.950000,,,,lingerie-anel-simples,Lingerie Anel Simples,Lingerie Anel Simples,Lingerie Anel Simples ,LingV1.png,,LingV1.png,,LingV1.png,,,,25/05/2022 12:03,25/05/2022 15:59,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,China,"FabricType=95% Poliéster, 5% Spandex",0,0,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"LingV2.png,LingV3.png,LingV4.png",,,,,,,,,,,,,"sku=MD_002-P,tamanhoclo=P|sku=MD_002-M,tamanhoclo=M,|sku=MD_002-G,tamanhoclo=G,|sku=MD_002-GG,tamanhoclo=GG",tamanhoclo=Tamanho
MD_002-P,,Moda_Attribute_Set,simple,"Moda,Moda/Lingerie",moda_br,Lingerie Anel Simples,,"<p><strong>Cor</strong>: Verde de Exercício</p>
<p><strong>Tipo de Desenho</strong>: Simples</p>
<p><strong>Tipo de sutiã:</strong> Com fio</p>
<p><strong>Tipo de calcinha</strong>: Cordas em V</p>
<p><strong>Número de peças</strong>: Conjunto de 2 peças</p>
<p><strong>Tecido</strong>: Elasticidade Baixa</p>
<p><strong>Material</strong>: Laço</p>
<p><strong>Tecido/material</strong>: 95% Poliéster, 5% Spandex</p>
<p><strong>Instruções de cuidados</strong>: Lavar à mão, não lavar a seco</p>
<p><strong>Almofada de peito</strong>: Sem enchimento</p>",0.4,1,Taxable Goods,Not Visible Individually,31.950000,,,,lingerie-anel-simples,Lingerie Anel Simples,Lingerie Anel Simples,Lingerie Anel Simples ,,,,,,,,,25/05/2022 12:03,25/05/2022 15:59,,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,China,"FabricType=95% Poliéster, 5% Spandex,tamanhoclo=P",15,0,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MD_002-M,,Moda_Attribute_Set,simple,"Moda,Moda/Lingerie",moda_br,Lingerie Anel Simples,,"<p><strong>Cor</strong>: Verde de Exercício</p>
<p><strong>Tipo de Desenho</strong>: Simples</p>
<p><strong>Tipo de sutiã:</strong> Com fio</p>
<p><strong>Tipo de calcinha</strong>: Cordas em V</p>
<p><strong>Número de peças</strong>: Conjunto de 2 peças</p>
<p><strong>Tecido</strong>: Elasticidade Baixa</p>
<p><strong>Material</strong>: Laço</p>
<p><strong>Tecido/material</strong>: 95% Poliéster, 5% Spandex</p>
<p><strong>Instruções de cuidados</strong>: Lavar à mão, não lavar a seco</p>
<p><strong>Almofada de peito</strong>: Sem enchimento</p>",0.4,1,Taxable Goods,Not Visible Individually,31.950000,,,,lingerie-anel-simples,Lingerie Anel Simples,Lingerie Anel Simples,Lingerie Anel Simples ,,,,,,,,,25/05/2022 12:03,25/05/2022 15:59,,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,China,"FabricType=95% Poliéster, 5% Spandex,,tamanhoclo=M",30,0,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MD_002-G,,Moda_Attribute_Set,simple,"Moda,Moda/Lingerie",moda_br,Lingerie Anel Simples,,"<p><strong>Cor</strong>: Verde de Exercício</p>
<p><strong>Tipo de Desenho</strong>: Simples</p>
<p><strong>Tipo de sutiã:</strong> Com fio</p>
<p><strong>Tipo de calcinha</strong>: Cordas em V</p>
<p><strong>Número de peças</strong>: Conjunto de 2 peças</p>
<p><strong>Tecido</strong>: Elasticidade Baixa</p>
<p><strong>Material</strong>: Laço</p>
<p><strong>Tecido/material</strong>: 95% Poliéster, 5% Spandex</p>
<p><strong>Instruções de cuidados</strong>: Lavar à mão, não lavar a seco</p>
<p><strong>Almofada de peito</strong>: Sem enchimento</p>",0.4,1,Taxable Goods,Not Visible Individually,31.950000,,,,lingerie-anel-simples,Lingerie Anel Simples,Lingerie Anel Simples,Lingerie Anel Simples ,,,,,,,,,25/05/2022 12:03,25/05/2022 15:59,,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,China,"FabricType=95% Poliéster, 5% Spandex,,tamanhoclo=G",14,0,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MD_002-GG,,Moda_Attribute_Set,simple,"Moda,Moda/Lingerie",moda_br,Lingerie Anel Simples,,"<p><strong>Cor</strong>: Verde de Exercício</p>
<p><strong>Tipo de Desenho</strong>: Simples</p>
<p><strong>Tipo de sutiã:</strong> Com fio</p>
<p><strong>Tipo de calcinha</strong>: Cordas em V</p>
<p><strong>Número de peças</strong>: Conjunto de 2 peças</p>
<p><strong>Tecido</strong>: Elasticidade Baixa</p>
<p><strong>Material</strong>: Laço</p>
<p><strong>Tecido/material</strong>: 95% Poliéster, 5% Spandex</p>
<p><strong>Instruções de cuidados</strong>: Lavar à mão, não lavar a seco</p>
<p><strong>Almofada de peito</strong>: Sem enchimento</p>",0.4,1,Taxable Goods,Not Visible Individually,31.950000,,,,lingerie-anel-simples,Lingerie Anel Simples,Lingerie Anel Simples,Lingerie Anel Simples ,,,,,,,,,25/05/2022 12:03,25/05/2022 15:59,,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,China,"FabricType=95% Poliéster, 5% Spandex,tamanhoclo=GG",16,0,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
